eta,logging_reward,"ours, gaussian","ours, mixed-logit","london, gaussian","london, mixed-logit","sakhi1, gaussian","sakhi1, mixed-logit","sakhi2, gaussian","sakhi2, mixed-logit"
0.0,0.009999999776482582,0.004279763524234295,0.006977618726342917,0.009994993788003921,0.00999986475110054,0.010230227863788605,0.0100360140055418,0.010042455832660198,0.010010809504985809
0.11,0.018264231088757514,0.2874362887382507,0.17003446826934815,0.0387823659658432,0.018279296347498895,0.049677098143100736,0.018644583600759507,0.04003788448572159,0.018336231070756912
0.22,0.0336049451649189,0.2944400553703308,0.21686081640720367,0.09393786545991897,0.03370918124914169,0.12019466102123261,0.03703980815410614,0.0994435729265213,0.034177076280117034
0.33,0.05927832236289978,0.2888482586860657,0.24289606533050537,0.15031019096374512,0.0596859077334404,0.1695255663871765,0.07046370751857757,0.15631358683109284,0.061611231303215025
0.44,0.09431631311178207,0.29254736671447756,0.25913913044929504,0.19283741068840027,0.09485847276449204,0.2028045837879181,0.10631598999500275,0.19640144557952882,0.09767087759971618
0.56,0.13545256268978118,0.2907505353450775,0.26709870328903196,0.2245271964073181,0.13622182731628418,0.23165134682655333,0.1449771180152893,0.22755666267871857,0.13909808666706086
0.67,0.16923368372917175,0.28943311033248903,0.2759782298088074,0.24417298517227173,0.1699289762020111,0.24840885066986085,0.17565172719955444,0.24635360391139985,0.17201748554706572
0.78,0.19684295828342438,0.2850627307891846,0.27985648164749144,0.2580107560634613,0.19731363828182222,0.26113440432548524,0.20161780853271485,0.2598074122428894,0.19916378450393676
0.89,0.21845540862083435,0.2755377133369446,0.28414204473495486,0.267872540140152,0.2187848091840744,0.2705548822402954,0.22178232488632202,0.26952807598114015,0.22049496972560884
1.0,0.23510852355957032,0.2799396412372589,0.2874348462104797,0.2750649411678314,0.23536133906841278,0.27733832664489744,0.23756649699211121,0.2766584391117096,0.23667689051628113
