eta,logging_reward,"ours, gaussian","ours, mixed-logit","london, gaussian","london, mixed-logit","sakhi1, gaussian","sakhi1, mixed-logit","sakhi2, gaussian","sakhi2, mixed-logit"
0.0,0.021276595072543366,0.0015084202092220174,0.020227753976558117,0.02142250509972268,0.021312499617008453,0.13859928785486425,0.024251130755911482,0.022573957671510412,0.02147309272847277
0.11,0.05399596183858019,0.3176470989876605,0.19805942190454362,0.11683310336255012,0.054623325048608985,0.3059420185900749,0.19140858112497533,0.15966477262212875,0.05796380212966432
0.22,0.11383750940891023,0.45293322339971015,0.37297669978851966,0.24720970630645753,0.11627728157855095,0.3463822172043171,0.241775030988328,0.2906203171547423,0.13371665594425608
0.33,0.19573704922452886,0.5056192042979788,0.4820050209126574,0.35098636059050864,0.20099180272284975,0.39708701965656684,0.27554483231077803,0.3819904073755792,0.22882444148368022
0.44,0.2802060965274243,0.529535665512085,0.5139715357029692,0.4231144736675506,0.2855892888535845,0.4502077628196554,0.32917025789301446,0.447867104347716,0.3136669290826676
0.56,0.35780007382656664,0.5514977548477498,0.5346723296794486,0.47439444278148896,0.36279718013519935,0.4928121879252982,0.3882931591602082,0.49427708199683656,0.38513455127147916
0.67,0.41177391579810607,0.5571329337992567,0.5473728459946653,0.5046713200021298,0.4155505156009755,0.518886721590732,0.43274993896484376,0.5196405668461577,0.43334786415100096
0.78,0.4516965019956548,0.5592928472478339,0.5553797238938352,0.5250325491073283,0.45494402073799295,0.5382738395447426,0.46888084634821464,0.5404147921217248,0.46986117362976076
0.89,0.4810397967886417,0.5638482063374621,0.5613987752224536,0.5399714303523936,0.4838527024045904,0.5517038724777547,0.4957585089257423,0.5545369763069965,0.49787267908136895
1.0,0.5027762337948414,0.571164692209122,0.5656756969208413,0.5507168138788101,0.5055363320289774,0.5614986099080836,0.5150394492453717,0.5634863958967493,0.5179282644961742
