eta,logging_reward,"ours, gaussian","ours, mixed-logit","london, gaussian","london, mixed-logit","sakhi1, gaussian","sakhi1, mixed-logit","sakhi2, gaussian","sakhi2, mixed-logit"
0.0,0.10000000149011612,0.40582422676086427,0.3040118197441101,0.14937721660137177,0.10942757939100266,0.6834229459762573,0.5687774660110474,0.6170005302429199,0.4607139356613159
0.11,0.2255584443092346,0.7974009990692139,0.7586897585868836,0.4066402594566345,0.2667170904159546,0.6970359573364258,0.6345921165466308,0.7053758906364441,0.621946343421936
0.22,0.3974212783336639,0.8395170715332031,0.8263850328445435,0.5898578350067138,0.4446976410865784,0.7149958414077758,0.648596229839325,0.7445828029632569,0.6725288907051087
0.33,0.5548240882873535,0.8477124429702759,0.8429612147331238,0.7068664680480957,0.5843163290023804,0.7505564705848694,0.6739024921417236,0.773967638206482,0.7051024967193603
0.44,0.6669911972045899,0.8523146059036255,0.8520589977264404,0.7757905765533447,0.6819756996154785,0.7927550278663635,0.7183733469009399,0.8048166522979736,0.7394091895103455
0.56,0.7445381964683533,0.8551693370819092,0.8595879623413086,0.8193271445274353,0.7521913084030152,0.8264567728042602,0.7666931366920471,0.8326566060066223,0.7769871078491211
0.67,0.7888142373085022,0.8608932373046875,0.8653820158958435,0.8424285585403443,0.7930580305099487,0.8470472913742065,0.8005146764755249,0.8509344930648803,0.8063053134918213
0.78,0.8176281519889832,0.8676444702148437,0.8699798713684082,0.8579331912994385,0.8202104610443115,0.8608142663955688,0.8250254581451416,0.8631668190002442,0.8282834217071533
0.89,0.8369907251358032,0.8741798248291016,0.873371095085144,0.8674940649032593,0.8388471579551697,0.8699778517723084,0.8421837163925171,0.8717396833419799,0.8442959058761597
1.0,0.8504456987380982,0.8793904754638672,0.8771719884872436,0.8743605226516724,0.8517780883789062,0.8767108123779297,0.8543024398803711,0.8780557228088379,0.8562396173477173
